MobileNetV2_separation,MobileNetV2_slim
"[22.27386360737625, 17.12467650656635, array([2.36971627]), array([0.01282204]), array([0.99587537])]",
,"[13.872668617805271, 7.938671679732398, array([2.21867302]), array([0.01282204]), array([0.99999936])]"
