ResNet50V2_separation,VGG16_separation
"[24.6974799775479 19.453791404248168 array([2.21867302, 2.21867302])
 array([0.01282204, 0.01282204]) array([0.99999994, 0.99999997])]",
,"[36.334097851283815 37.68891807222045 array([2.21867302])
 array([0.01282204]) array([0.97618102])]"
